Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Mode,Pass/Fail,Pass/Fail Criteria,Heat,Lot,Note,Sample Depth,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
712,ucsb mining,210.43,0,29.69,29.5,30,"Tue Jun 11, 2024 - 18:16:41",User,2,ppm,Mining,,,,,,BHVO1-1,0,2.8326,76529.2344,987.804,0,1.7648,0,4.6258,329.6415,42.1074,486492.0938,4991.1953,0,2.443,74594.8359,348.9522,0,4.1479,0,27.7741,0,112.6033,251.3698,12.2014,142.3941,7.6805,73796.3438,207.4265,0,0,2.8074,2.7043,5241.1401,134.0096,26460.4805,2087.0823,1084.6068,48.6643,1.7056,1.2391,17.3202,1.0675,125.5167,10.9003,857.7886,73.1013,4.6303,1.3665,0,2.4214,9.7133,1.3128,0,0,145.6549,21.2842,0,7.9802,0,1.4222,237832.6562,389.1934,17.6125,4.4131,397.1326,2.5082,0,0,0,1.8917,14946.3574,98.8051,2.3551,2.1445,350.8587,29.2253,0,12.26,26.7908,1.1429,92.8859,6.0325,171.7585,2.3412
713,ucsb mining,87.62,0,29.85,29.43,,"Tue Jun 11, 2024 - 18:21:56",User,2,ppm,Mining,,,,,,BHVO1-2,0,3.5698,,,0,1.9263,0,4.6496,291.2204,52.9564,820404.875,1227.0087,0,3.5317,78462.5703,373.8545,0,5.2096,0,,0,188.0099,264.9724,13.0506,150.1984,8.2752,77943.3828,216.0667,0,0,0,4.9903,4969.9966,140.0425,,,1181.6112,51.5795,2.0178,1.316,17.5165,1.1323,129.1855,12.8904,,,5.9494,1.4768,0,3.0036,8.995,1.3882,0,0,,,0,10.1038,0,1.4197,,,21.5253,5.5877,392.7326,2.6769,0,0,0,2.0817,15089.1924,104.1448,0,5.2039,359.1237,31.0366,0,15.2604,26.7856,1.2348,110.2528,6.4141,167.8942,2.5137
714,ucsb mining,210.31,0,29.3,29.31,28.94,"Tue Jun 11, 2024 - 18:27:49",User,2,ppm,Mining,,,,,,BHVO1-3,0,2.8364,76918.0859,1005.5306,0,1.8468,4.7214,3.3123,316.5987,42.8185,482172.8438,5135.3247,0,2.3081,75131.6719,350.8982,0,4.2014,0,27.7597,0,182.9586,246.0225,12.2282,141.6804,7.7798,74007.2188,211.1144,0,0,0,6.1254,5247.4468,134.4568,28074.1016,2132.1172,1109.061,49.6904,1.5747,1.2367,17.582,1.0669,136.8883,12.2227,842.246,72.9214,5.1671,1.3821,0,2.4338,8.7816,1.297,0,0,162.1965,21.4323,0,8.2394,0,1.3732,239332.2031,393.7348,20.7571,4.5146,398.0216,2.5428,0,0,0,1.9058,15041.1885,99.3123,0,4.3594,372.5948,29.5433,0,12.4149,27.5817,1.1643,92.303,6.1028,171.4659,2.3704
715,ucsb mining,211.43,0,29.04,29.23,28.99,"Tue Jun 11, 2024 - 18:32:01",User,2,ppm,Mining,,,,,,BHVO1-4,0,2.8539,77415.6484,991.1775,0,1.8904,0,4.6565,268.9012,42.3018,482449.375,5062.6885,0,2.2964,74993.8359,357.0741,0,4.2583,0,27.6051,0,174.0512,247.654,12.4726,141.9766,7.7711,73820.3906,210.2102,0,0,0,6.623,5154.3193,135.8337,27421.7461,2090.1372,1094.6411,49.3405,1.7392,1.2344,19.0741,1.0773,142.8613,12.264,889.5694,72.7479,5.155,1.3875,0,2.4012,8.6677,1.291,0,0,147.0397,21.114,0,8.1136,0,1.3777,239690.4531,392.235,15.2556,4.4633,395.6184,2.5286,0,0,0,1.8948,15015.9775,101.3728,0,4.7181,368.1099,30.0745,0,13.442,27.4813,1.1596,93.6055,6.1074,170.9038,2.3599
716,ucsb mining,211.06,0,29.17,29.78,29.06,"Tue Jun 11, 2024 - 18:35:51",User,2,ppm,Mining,,,,,,BHVO1-5,0,2.8458,78158.4062,1009.4446,0,1.8641,0,4.5901,338.083,42.3153,479270.25,5143.3687,0,2.2986,75178.8516,359.6242,0,4.1576,0,27.8077,0,173.1922,249.0276,12.6077,138.9259,7.6882,74156.4531,209.9732,0,0,0,5.3671,5330.501,138.8527,27525.9551,2116.675,1099.2925,49.22,1.701,1.2488,17.7677,1.0806,141.3829,12.2095,944.8378,73.9982,6.3993,1.4195,0,2.3761,8.5602,1.3071,0,0,160.4461,21.5044,0,8.0642,0,1.341,241019.0781,396.063,23.9194,4.4663,396.1012,2.5222,0,0,0,1.9127,15160.6836,102.395,3.2738,2.1723,372.0323,30.4233,0,12.4484,27.3137,1.1551,98.8622,6.1738,171.8973,2.3576
717,ucsb mining,210.51,0,29.02,29.43,29.24,"Tue Jun 11, 2024 - 18:40:01",User,2,ppm,Mining,,,,,,BHVO1-6,0,3.3232,78270.3359,1020.8893,0,1.8162,0,4.6716,320.9633,41.9122,478382.5938,5157.981,0,3.2332,74624.625,357.675,0,4.1908,0,28.1146,102.6652,75.5087,249.7978,12.5019,148.7334,7.8293,74041.2734,208.5209,0,0,0,4.1827,5250.4014,137.4356,28368.8418,2147.0193,1088.0015,48.9386,2.0829,1.2305,19.1009,1.0705,129.2385,11.0656,870.5416,74.4045,5.5926,1.3891,0,2.3669,9.9746,1.311,0,0,168.3046,21.6616,0,7.9894,0,1.3673,241755.4219,395.988,15.1945,4.3862,399.1002,2.5236,0,0,0,1.9219,15127.7568,101.3883,0,4.6665,360.3255,30.1268,0,19.4967,27.689,1.1577,88.8904,5.9955,172.5535,2.3543
718,ucsb mining,210.64,0,29.04,29.35,28.97,"Tue Jun 11, 2024 - 18:44:12",User,2,ppm,Mining,,,,,,BHVO1-7,0,2.8321,78481.7344,1005.5637,0,1.8113,0,4.5521,312.1093,42.43,480353,5072.7607,0,3.7578,73925.75,360.847,0,4.191,0,26.9698,0,153.9928,249.4402,12.6938,142.8556,7.6832,73509.3359,207.4488,0,0,4.8764,2.7556,5145.6382,137.9441,28072.748,2112.1436,1103.241,48.9319,0,2.7234,17.5704,1.0496,138.4389,11.9859,875.9517,73.4229,4.662,1.3477,0,2.45,9.6564,1.3044,0,0,99.3228,21.0491,0,8.0722,0,1.3204,241626.7344,395.481,19.988,4.4726,392.3131,2.4885,0,0,0,1.9097,14876.3584,102.9908,0,5.1696,344.4393,30.2931,0,12.1639,26.4257,1.1352,96.2346,6.07,171.1895,2.3291
719,ucsb mining,211.53,0,29.73,29.79,29.48,"Tue Jun 11, 2024 - 18:48:41",User,2,ppm,Mining,,,,,,BHVO1-8,0,2.7728,78732.1562,1012.9426,0,1.9848,0,4.7376,302.4702,41.3215,479199.8438,5334.9692,0,2.45,74053.5,360.6948,0,4.0261,0,27.046,114.3546,79.3129,241.5301,12.5184,139.0026,8.0405,73828.2812,217.9359,0,0,4.7905,2.9136,5145.2319,137.6033,28006.9688,2120.427,1093.3087,51.5438,2.5983,1.313,18.3442,1.1365,132.1822,11.6982,907.1088,74.4991,6.479,1.4927,0,2.3739,8.9591,1.3806,0,0,123.7337,21.3053,0,7.8598,0,1.4317,241808.3906,396.9935,17.2055,4.3473,397.9366,2.6473,0,0,0,2.0051,15056.0762,101.9022,3.1621,2.2918,366.0659,30.3651,0,12.8493,26.9178,1.2059,94.3723,6.3863,169.0101,2.4568
720,ucsb mining,211.3,0,29.21,29.83,28.74,"Tue Jun 11, 2024 - 19:01:55",User,2,ppm,Mining,,,,,,BHVO1-9,0,3.2802,78308.4922,1017.2632,0,1.9866,0,4.9317,313.1328,42.6443,480178.7188,5264.2871,0,2.6509,73490.4688,352.3001,0,4.2051,0,27.1385,0,140.4924,249.6549,12.3686,145.6347,8.0543,74337.5938,214.9321,0,0,0,4.8204,5050.1025,133.6968,27125.127,2120.3223,1123.5856,51.3008,1.7111,1.2899,17.4434,1.1097,129.3727,12.3314,953.9369,75.3716,8.3766,1.5286,0,2.4423,8.4469,1.3353,0,0,123.7427,21.481,0,8.1448,0,1.4601,242438.2344,397.5912,14.8694,4.4664,395.5282,2.6006,0,0,0,1.9934,14952.0508,100.5819,2.4038,2.2153,341.582,29.5912,0,17.1636,26.6031,1.1849,88.0285,6.1936,175.1517,2.4474
721,ucsb mining,210.24,0,28.98,29.4,29.38,"Tue Jun 11, 2024 - 19:07:16",User,2,ppm,Mining,,,,,,BHVO1-10,0,2.8784,77967.9688,1032.1438,0,1.8896,0,4.6071,320.7993,42.7758,476867.5938,5317.7227,0,2.9495,73815.3125,353.4741,0,4.2118,0,28.0504,0,151.8657,257.098,12.4981,148.5116,7.9254,74434.6406,210.8999,0,0,0,4.4776,5179.022,135.1663,30189.6562,2188.5195,1126.6846,50.0999,1.9758,1.2599,17.7666,1.0867,140.0363,12.2522,905.2711,74.3609,7.0232,1.4487,0,2.4346,9.9823,1.3403,0,0,161.1678,21.7089,0,8.1457,0,1.3698,242261.3281,396.7835,22.1324,4.5168,398.8988,2.5504,0,0,0,1.9614,15101.8213,101.0338,2.7194,2.1758,358.8332,29.8625,12.4316,8.743,26.9665,1.1634,90.8618,6.099,173.4885,2.3844
