Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Mode,Pass/Fail,Pass/Fail Criteria,Heat,Lot,Note,Sample Depth,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
727,ucsb mining,210.93,0,29.15,29.87,28.89,"Tue Jun 11, 2024 - 19:39:22",User,2,ppm,Mining,,,,,,QLO-1A-1,0,2.1176,86303.7031,622.8522,0,2.167,0,3.4293,1022.7848,35.7915,530943.125,3131.9436,0,1.791,17130.1406,149.7985,0,3.22,0,24.9394,0,60.7635,32.5483,5.9196,23.6025,3.9658,24059.9766,126.1654,0,0,0,3.4839,30850.8691,216.6566,3915.0842,966.9224,563.6791,34.099,1.2124,1.019,9.3036,0.8183,9.3544,5.808,827.2362,65.2629,23.7117,1.5563,0,1.848,76.2329,1.9273,0,0,0,39.1636,0,6.1031,0,1.0332,300553.6562,362.3962,11.0952,3.2931,318.8889,1.8901,0,0,4.4573,1.2024,3003.8547,42.5774,3.6019,1.7695,62.7442,10.9256,0,8.6306,22.2858,1.0384,48.5492,4.1909,178.2557,1.9369
728,ucsb mining,210.54,0,29.93,29.83,29.34,"Tue Jun 11, 2024 - 19:43:58",User,2,ppm,Mining,,,,,,QLO-1A-2,0,2.0868,87447.7578,625.0934,0,2.8189,0,3.4642,1002.1689,35.1689,530006.375,3161.9546,0,1.8774,16821.8867,147.1968,0,3.1663,0,24.9594,0,77.0356,36.215,5.869,21.8559,3.9551,23978.5664,127.8404,0,0,0,3.9101,30791.3906,213.9215,3424.2319,953.6116,546.4214,34.166,0,1.5635,8.97,0.8238,0,8.5923,823.0438,65.7011,22.6107,1.5513,0,1.8364,74.6002,1.9324,0,0,0,31.3781,0,5.9875,0,1.037,301342.7812,364.1799,12.1361,3.2524,318.185,1.9142,0,0,2.8435,1.2075,3002.0984,42.173,2.8551,1.7731,71.178,10.8837,0,8.6034,21.584,1.0423,43.7235,4.1565,176.5298,1.9556
729,ucsb mining,210.76,0,28.97,29.37,29.54,"Tue Jun 11, 2024 - 19:48:50",User,2,ppm,Mining,,,,,,QLO-1A-3,0,2.8411,88131.9531,625.5961,1.9166,1.4933,0,3.5551,1017.3734,34.7808,528501,3273.5154,0,1.8416,16811.0449,149.993,0,3.1622,0,24.9347,0,64.106,36.5161,5.9787,21.9245,4.1263,24056.3711,132.7909,0,0,0,4.4881,30758.8438,217.9584,3209.9917,945.3356,547.246,35.5437,0,2.1708,7.6803,0.8518,9.2211,6.1424,836.8234,65.1407,20.8438,1.5817,0,1.9979,74.7453,2.0269,0,0,0,29.5725,0,5.9377,0,1.0834,302327.7812,365.2665,13.1088,3.2116,319.3828,1.9917,0,0,4.8482,1.2534,2975.167,42.966,5.4647,1.9111,62.6018,10.992,0,8.8179,22.4497,1.0913,49.157,4.4194,176.5841,2.0336
730,ucsb mining,210.53,0,29.21,29.06,29.41,"Tue Jun 11, 2024 - 19:53:31",User,2,ppm,Mining,,,,,,QLO-1A-4,0,2.1371,87754.5078,623.1395,0,2.8659,0,3.4635,995.7417,36.5603,526874.5625,3154.7722,0,1.742,16918.3672,150.5235,0,3.2949,0,24.9112,0,60.9005,37.7506,5.9976,20.676,3.9079,24077.4727,126.7594,0,0,0,3.0945,31042.252,219.0312,2923.1948,936.2443,536.6049,33.7222,2.0057,1.03,9.9296,0.8268,8.2686,5.7526,859.3524,65.6888,22.7579,1.5435,0,1.8532,76.5989,1.9431,0,0,25.2658,17.7825,0,6.2429,0,1.049,304164.4062,363.6213,0,7.91,321.1169,1.9057,0,0,3.8559,1.1737,3017.7498,42.8001,3.9943,1.7895,59.719,10.9706,0,8.8107,21.2667,1.0348,45.0905,4.1514,177.5051,1.9446
731,ucsb mining,211.28,0,29.71,28.74,29.13,"Tue Jun 11, 2024 - 19:58:38",User,2,ppm,Mining,,,,,,QLO-1A-5,0,2.0915,88085.7578,625.0639,0,2.6473,0,3.461,1002.2667,35.4365,528328.125,3224.7319,0,1.8353,16907.0312,150.7492,0,3.2022,0,24.6447,0,61.9721,31.9527,5.9433,20.5291,3.9726,23905.1387,129.2416,0,0,0,5.0417,30843.7773,218.8046,4318.7773,969.9769,553.1492,34.7622,0,1.6805,8.4338,0.8333,0,13.5054,831.0513,64.641,22.1465,1.5624,0,1.8455,73.861,1.9624,0,0,0,40.8199,0,6.051,0,1.038,301454.3438,363.0974,8.7407,3.2585,316.5573,1.9331,0,0,3.8824,1.2177,2973.0693,43.0458,4.9784,1.8473,61.692,11.0069,0,8.5887,21.4429,1.0528,45.4858,4.2365,177.8614,1.9844
732,ucsb mining,211.27,0,29.73,29.47,28.93,"Tue Jun 11, 2024 - 20:03:15",User,2,ppm,Mining,,,,,,QLO-1A-6,0,2.0917,88140.5938,622.9323,0,2.2496,0,3.4644,1018.9053,35.7165,528147.4375,3233.8772,0,1.8763,16773.8652,148.4005,0,3.233,0,24.6771,0,82.8094,33.193,5.9045,22.3709,4.038,23831.002,129.8208,0,0,0,3.1871,30932.8789,216.3758,4107.688,962.4238,559.2067,35.0594,0,1.9908,8.5255,0.8362,0,8.78,827.3218,64.5936,22.7161,1.5804,0,1.8263,75.3624,1.979,0,0,0,41.7093,0,6.0758,0,1.0449,301875.5625,363.429,10.7291,3.282,318.8457,1.9495,0,0,3.2678,1.2254,2985.3164,42.9599,3.6707,1.8236,51.0476,10.8363,0,8.8876,21.8567,1.0646,49.5939,4.3357,178.9718,1.9998
733,ucsb mining,210.08,0,29.81,28.88,29.22,"Tue Jun 11, 2024 - 20:07:43",User,2,ppm,Mining,,,,,,QLO-1A-7,0,2.1852,87507.2422,627.2039,0,3.3266,0,3.5532,1017.5186,37.0265,529604.3125,3218.999,0,1.8748,17030.5566,150.3393,0,3.3093,0,25.3301,0,62.403,33.5222,5.9446,18.6597,3.9466,24208.1016,130.0256,0,0,0,3.0579,30697.7578,217.2819,3611.7712,959.7296,557.7073,34.9524,0,2.2314,8.5595,0.8381,11.0162,5.9382,848.466,65.5446,21.4919,1.5554,0,1.9141,75.8272,1.9864,0,0,35.2669,17.9807,0,6.3019,0,1.0603,301028.5625,364.6383,8.2866,3.3999,322.1676,1.9538,0,0,3.5762,1.2293,3032.9526,43.0219,4.6902,1.8494,57.3109,10.9671,0,8.8448,22.4936,1.0689,51.1939,4.3563,181.0268,2.005
734,ucsb mining,210.01,0,29.81,29.12,29.56,"Tue Jun 11, 2024 - 20:12:44",User,2,ppm,Mining,,,,,,QLO-1A-8,0,2.1653,88102.9531,635.5303,0,2.5653,0,3.694,1024.7792,36.514,527041.25,3238.072,0,1.8939,16877.4688,149.363,0,3.2733,0,25.5335,0,61.7746,37.4516,5.9929,20.9665,3.9484,24024.2773,128.0983,0,0,0,2.9868,30977.877,217.2439,4677.3662,992.7629,570.3673,34.7468,0,2.0112,9.3939,0.8335,0,12.6304,800.6812,65.2938,22.5167,1.5575,0,1.8947,75.4944,1.9581,0,0,28.1524,17.9392,0,6.2362,0,1.0613,302062.5625,365.4066,11.2308,3.3625,321.0334,1.9262,0,0,4.0694,1.241,2987.4062,42.828,4.6704,1.8231,66.5875,10.9944,0,8.6506,22.3149,1.0534,49.4876,4.2712,179.6488,1.9741
735,ucsb mining,210.55,0,29.59,29.72,28.78,"Tue Jun 11, 2024 - 20:18:39",User,2,ppm,Mining,,,,,,QLO-1A-9,0,2.1555,87228.8906,621.4028,0,2.3514,0,3.6773,1031.1635,36.476,530307.8125,3284.7136,0,1.9279,16907.5195,156.9073,0,3.2652,0,25.1364,0,64.1611,34.386,6.2493,20.1778,4.0902,24110.8848,133.2977,0,0,0,3.1569,30846.668,227.4961,3545.3406,950.24,551.0629,35.7664,1.9484,1.0848,8.4101,0.8618,0,14.4593,833.2297,64.991,23.3027,1.6333,0,1.8881,75.4472,2.0406,0,0,0,38.2584,0,6.2091,0,1.0986,300849.375,366.2415,15.058,3.3733,322.2796,2.0065,0,0,3.3018,1.2596,2970.7188,45.248,5.3802,1.9153,57.8062,11.4796,0,9.2962,23.2749,1.1048,49.4656,4.4452,177.1085,2.0432
736,ucsb mining,210.79,0,29.51,29.39,29.46,"Tue Jun 11, 2024 - 20:28:36",User,2,ppm,Mining,,,,,,QLO-1A-10,0,2.0499,86787.3359,624.4758,0,2.301,0,3.4116,1039.3186,35.0937,531803.1875,3221.8181,0,1.7903,16840.1211,147.3514,0,3.1547,0,25.2846,0,62.5571,38.7531,5.8639,20.926,4.0018,23954.7363,129.8566,0,0,0,4.0624,30703.0254,213.5855,4230.3721,973.6227,541.1982,34.728,1.7795,1.0537,9.5028,0.8429,0,11.5063,819.3139,65.1973,23.9433,1.6043,0,1.7832,76.7062,1.9887,0,0,32.8571,17.8611,0,5.9753,0,1.0531,299414,362.8942,13.6352,3.2325,320.9107,1.9541,0,0,3.5507,1.2001,3021.2793,42.2328,3.2346,1.8172,47.7039,10.6652,0,8.8017,21.3128,1.0621,53.136,4.3977,178.1271,1.9964
