Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Mode,Pass/Fail,Pass/Fail Criteria,Heat,Lot,Note,Sample Depth,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
745,ucsb mining,210.56,0,29.28,29.29,28.96,"Tue Jun 11, 2024 - 21:05:15",User,2,ppm,Mining,,,,,,RGM1-1,1.6502,1.1644,74414.5859,481.2448,0,2.05,0,3.0833,365.2746,25.9347,556993.6875,2708.9626,0,1.671,5535.6904,89.6577,0,4.1293,145.7724,17.138,0,38.6929,26.0236,4.5998,6.986,3.239,9664.96,84.6473,0,0,0,2.7714,33238.7734,202.8535,1831.3831,764.0439,171.3898,23.4759,0,2.3527,7.5014,0.7469,0,7.9214,202.456,43.594,24.5625,1.5147,0,2.3091,154.2594,2.4301,0,0,0,23.3876,0,5.3029,0,0.9259,315620.1875,333.9288,5.9195,2.6441,94.3344,1.0087,0,0,12.6572,1.315,1211.2069,27.1228,3.003,1.4638,21.8509,6.765,0,7.7452,17.6377,1.0715,22.9523,3.4273,205.2626,1.8034
746,ucsb mining,210.49,0,29.73,28.7,29.41,"Tue Jun 11, 2024 - 21:09:57",User,2,ppm,Mining,,,,,,RGM1-2,2.0443,1.1655,75106.0078,480.6455,0,1.9814,0,2.9241,359.7953,25.7914,557017.375,2642.1582,0,1.6264,5463.5869,88.6049,2.9024,1.7762,136.2624,17.0714,0,37.6549,27.1167,4.5493,3.614,3.0534,9631.0361,82.2799,0,0,0,2.6467,32956.8359,200.2037,1470.3713,751.2182,171.3352,22.8845,0,1.5191,7.0241,0.7299,0,7.0376,177.7139,43.1922,21.5222,1.4255,0,2.4362,150.2438,2.3512,0,0,0,23.3427,0,7.4189,0,0.9135,315678.5938,332.1992,7.5951,2.6401,93.5428,0.9778,0,0,13.8579,1.2941,1220.9078,26.6187,6.2103,1.4993,25.337,6.7119,0,7.6565,18.5334,1.0431,23.6107,3.3468,205.7373,1.7572
747,ucsb mining,209.99,0,29.24,29.95,29.52,"Tue Jun 11, 2024 - 21:13:50",User,2,ppm,Mining,,,,,,RGM1-3,1.5733,1.1523,75726.7891,483.7148,0,2.018,0,3.0936,359.0746,25.6572,556050.9375,2639.0364,0,1.5832,5402.6572,86.7302,2.9402,1.7675,126.1777,17.0847,0,37.5183,25.1708,4.4804,5.9347,3.1076,9564.4746,81.8082,0,0,0,2.6015,32780.4219,196.32,1610.1764,756.737,174.4174,22.8134,0,1.524,6.3246,0.7194,0,8.0131,171.1416,43.6498,23.4571,1.4503,0,2.1703,151.8761,2.3538,0,0,0,23.2919,0,5.3887,0,0.9179,316257.5,332.644,4.4869,2.611,92.4808,0.9697,0,0,12.9257,1.2655,1177.4645,26.5544,5.8227,1.4851,22.8998,6.5992,0,7.3804,16.9917,1.0309,22.8821,3.317,201.7755,1.7365
748,ucsb mining,210.59,0,29.76,29.85,29.71,"Tue Jun 11, 2024 - 21:19:00",User,2,ppm,Mining,,,,,,RGM1-4,3.4213,1.1614,73506.9453,500.0034,0,2.2825,0,3.0497,338.6476,25.0596,553174.375,2715.2168,0,1.6188,5534.3193,90.7868,5.1727,1.7541,118.2391,17.675,0,37.9506,24.0062,4.6743,5.5417,3.1411,9790.5664,83.2829,0,0,0,3.9755,33829.1328,204.9306,1760.3593,791.5569,161.7492,22.614,0,2.0734,7.1922,0.7339,0,11.0674,205.5693,45.0058,24.5789,1.488,2.1105,1.0221,155.599,2.3988,0,0,0,23.9423,0,4.7536,0,0.938,319725.1875,341.7511,8.2869,2.5764,95.0491,0.9919,0,0,12.7917,1.2855,1234.355,27.6204,4.775,1.4856,25.3047,6.9191,0,7.4145,17.7638,1.0539,22.1987,3.3498,206.7395,1.7731
749,ucsb mining,210.36,0,28.98,29.4,29.14,"Tue Jun 11, 2024 - 21:23:16",User,2,ppm,Mining,,,,,,RGM1-5,2.8505,1.1705,73806.6562,498.5841,0,2.0311,0,3.0788,343.884,25.4807,551654.9375,2713.9863,0,1.6017,5644.7764,90.6532,4.3289,1.7727,126.0319,17.6513,0,38.025,26.5984,4.675,4.4522,3.1076,9881.9824,83.5289,0,0,0,2.6157,33851.5039,203.9369,1504.3794,781.7332,185.5089,23.3035,1.4653,0.952,7.7112,0.7376,0,8.0447,189.7995,45.0416,25.2262,1.4983,1.7423,1.0305,155.6355,2.3981,0,0,0,23.8157,0,4.9297,0,0.9051,320955.5312,340.4698,5.5965,2.6026,97.0429,1.0002,0,0,14.3577,1.3057,1233.5983,27.6517,5.1273,1.4879,20.6778,6.8508,0,8.5375,17.3784,1.0507,23.9281,3.3866,207.3044,1.7755
750,ucsb mining,211.54,0,29.45,29.72,29.76,"Tue Jun 11, 2024 - 21:27:32",User,2,ppm,Mining,,,,,,RGM1-6,2.8812,1.1627,73961.9375,491.5757,0,2.3165,0,3.0432,330.7179,25.2251,554624.875,2731.7922,0,1.5753,5578.0137,88.0124,6.4292,1.7818,123.9236,17.3768,0,38.6521,22.7916,4.5104,6.6503,3.2152,9715.6738,84.5344,0,0,0,3.3537,33378.3828,198.0042,1909.6666,780.5291,187.7108,23.8815,0,1.7007,7.694,0.7547,0,6.7235,188.3524,44.1127,23.3883,1.494,2.0883,1.0302,148.6081,2.3975,0,0,0,23.2727,0,4.8021,0,0.9457,318187.4375,336.4821,10.4938,2.6083,94.6202,1.0073,0,0,14.4547,1.3081,1194.693,26.7879,6.2176,1.5395,25.8837,6.694,0,7.5166,19.5652,1.0748,23.4209,3.4276,203.3656,1.7925
751,ucsb mining,210.95,0,29.83,29.51,28.58,"Tue Jun 11, 2024 - 21:32:22",User,2,ppm,Mining,,,,,,RGM1-7,2.1263,1.1578,73792.1562,489.0271,0,2.1493,0,3.0989,327.0105,25.3632,556175.8125,2696.6731,0,1.6804,5544.4805,88.5919,4.6008,1.7744,102.1278,17.2945,0,38.6008,23.5774,4.5448,3.9833,3.13,9735.1543,84.264,0,0,0,2.5938,33411.8789,199.9346,1278.6631,762.2192,182.3351,23.612,0,1.6791,7.0986,0.7429,0,8.5266,201.7067,44.083,24.678,1.5067,1.7426,1.0295,153.9307,2.4206,0,0,0,23.219,0,4.8128,0,0.9146,317429.6562,336.3894,7.6698,2.6097,93.5814,0.998,0,0,12.8356,1.3158,1209.5831,26.9156,5.1136,1.5032,23.174,6.7121,0,7.6001,17.6496,1.0645,23.726,3.419,203.9916,1.7863
752,ucsb mining,210.17,0,28.99,29.26,29.25,"Tue Jun 11, 2024 - 21:36:26",User,2,ppm,Mining,,,,,,RGM1-8,2.5174,1.1738,75692.2734,496.4268,0,2.9134,0,3.2104,367.3659,25.8195,547296.4375,2789.1824,0,1.7058,5555.8926,90.4887,6.3739,1.8074,133.6916,17.5233,0,39.3006,28.961,4.6765,6.4393,3.2509,9905.3945,85.9665,0,0,0,2.7172,33908.7852,204.2634,805.4345,753.2332,168.6621,23.4175,0,1.9672,7.3789,0.7563,0,6.8117,228.2953,45.7127,21.9812,1.4784,1.7241,1.0378,155.8507,2.4678,0,0,0,23.6018,0,6.144,0,0.9323,324059.6875,339.6229,11.2722,2.6523,95.504,1.0208,0,0,12.5966,1.3295,1242.9038,27.3609,5.3287,1.534,24.7326,6.8632,0,9.9068,18.0837,1.0848,25.6822,3.5179,210.7377,1.8358
753,ucsb mining,210.88,0,29.92,29.74,28.66,"Tue Jun 11, 2024 - 21:40:21",User,2,ppm,Mining,,,,,,RGM1-9,1.301,1.1618,75715.5938,497.731,0,2.5364,0,3.1895,354.4657,25.9126,547680.75,2762.5088,0,1.6126,5570.9756,90.4176,5.1324,1.8073,123.0424,17.3751,0,38.1775,23.1164,4.6381,6.4195,3.1765,9840.8438,84.0119,0,0,0,2.9203,33635.8516,203.6642,2364.0383,792.1193,174.6193,23.2037,0,2.1465,7.8375,0.7431,0,8.5422,227.5529,45.1652,23.5252,1.4781,2.0502,1.051,156.7136,2.4225,0,0,0,23.5772,0,5.4029,0,0.9368,322488.7812,338.7481,7.8831,2.6521,95.5138,1,0,0,13.4418,1.2988,1204.1299,27.6519,5.0939,1.5013,22.6377,6.857,0,7.4602,17.7614,1.0614,23.307,3.387,207.5781,1.7873
754,ucsb mining,211.17,0,29.28,29.6,28.94,"Tue Jun 11, 2024 - 21:44:46",User,2,ppm,Mining,,,,,,RGM1-10,2.8129,1.177,75611.4766,499.5746,0,2.6295,0,3.1368,346.4543,25.6637,546901.75,2745.7229,0,1.5255,5596.4355,90.8078,5.7951,1.8002,168.7812,17.6835,0,37.9854,25.0129,4.6531,3.8131,3.0765,9891.9287,83.4509,0,0,0,2.628,33791.0273,203.9307,1912.91,784.2742,176.6594,23.097,0,1.4205,8.2673,0.7458,0,6.6457,195.6729,44.9557,22.8059,1.4595,1.3862,1.0303,156.6908,2.4117,0,0,0,23.8835,0,4.8762,0,0.9449,323549.0312,339.3528,4.9023,2.6186,97.1737,0.9994,0,0,15.5226,1.2987,1235.033,27.7246,7.3653,1.5443,18.0364,6.827,0,7.6024,18.5537,1.0592,22.852,3.3549,211.8011,1.7893
